url_length,domain_length,subdomain_length,has_subdomain,subdomain_count,token_count,path_token_count,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,amp_count,hash_count,percent_count,digit_count,digit_ratio,has_ip,is_shortened,suspicious_tld,uses_https,has_port,url_entropy,phishing_keyword_count,url,label
35,7,3,1,1,5,3,2,0,0,4,0,0,0,0,0,0,3,0.08571428571428572,0,0,0,1,0,4.0331536461849575,0,https://api.netflix.com/contact/242,0
31,6,4,1,1,5,3,2,0,0,4,0,0,0,0,0,0,3,0.0967741935483871,0,0,0,1,0,4.11548663296752,0,https://docs.google.com/faq/130,0
32,7,4,1,1,4,2,2,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,1,0,4.140319531114783,0,https://mail.youtube.com/privacy,0
42,7,3,1,1,4,2,2,0,0,3,1,1,0,0,0,0,4,0.09523809523809523,0,0,0,1,0,4.445307005854539,0,https://www.youtube.com/products?page=2674,0
26,9,0,0,0,4,2,1,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,1,0,3.7962176025900556,0,https://microsoft.com/blog,0
25,7,0,0,0,4,2,1,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,1,0,3.7834651896016456,0,https://spotify.com/about,0
37,6,5,1,1,4,2,2,0,0,3,1,1,0,0,0,0,4,0.10810810810810811,0,0,0,1,0,4.41189187902552,0,https://drive.google.com/blog?id=5741,0
31,9,0,0,0,5,3,1,0,0,4,0,0,0,0,0,0,3,0.0967741935483871,0,0,0,1,0,3.9864543749030035,0,https://microsoft.com/about/564,0
30,8,0,0,0,5,3,1,0,0,4,0,0,0,0,0,0,3,0.1,0,0,0,1,0,4.081727678869736,0,https://linkedin.com/terms/799,0
31,6,0,0,0,5,3,1,0,0,4,0,0,0,0,0,0,3,0.0967741935483871,0,0,0,1,0,4.091135423220312,0,https://amazon.com/services/488,0
29,7,0,0,0,5,3,1,0,0,4,0,0,0,0,0,0,3,0.10344827586206896,0,0,0,1,0,3.8664331502253844,0,https://spotify.com/terms/886,0
27,6,0,0,0,5,3,1,0,0,4,0,0,0,0,0,0,3,0.1111111111111111,0,0,0,1,0,3.865998613274581,0,https://google.com/docs/316,0
29,7,0,0,0,5,3,1,0,0,4,0,0,0,0,0,0,3,0.10344827586206896,0,0,0,1,0,3.935398667466764,0,https://spotify.com/terms/758,0
29,8,0,0,0,5,3,1,0,0,4,0,0,0,0,0,0,3,0.10344827586206896,0,0,0,1,0,4.073329701949522,0,https://facebook.com/help/698,0
43,8,4,1,1,5,3,2,0,0,4,1,1,0,0,0,0,7,0.16279069767441862,0,0,0,1,0,4.582900510365111,0,https://mail.linkedin.com/help/873?ref=3621,0
27,7,0,0,0,5,3,1,0,0,4,0,0,0,0,0,0,3,0.1111111111111111,0,0,0,1,0,4.134336113194453,0,https://dropbox.com/faq/490,0
24,7,0,0,0,4,2,1,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,1,0,3.569773835029478,0,https://twitter.com/home,0
